DATA_SOURCE,Unique_Project_ID,Project_Name,Bay_Segment,Lead_Entity,Project_Activity,Project_Technology,Completion_Date,TN_Reduction_lbs_yr,ProjectLatitude,ProjectLongitude,Acres,ActualProjectCost,MAC_Notes,
TBEP_APDB_1992-2016,OSS_Syn_0063,Cone Ranch Restoration Project,Hillsborough Bay,Hillsborough County,Habitat_Enhancement,Hydrologic_Restoration,1999,331,28.12181309,-82.12251217,,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0064,Coopers Point,,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1999,,27.968614,-82.69359,10,"$200,000.00 ",checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0065,Coquina Key Park,,City of St. Petersburg Parks Department,Habitat_Enhancement,Exotic_Control,1999,,27.737405,-82.631126,1,NA,checked,
TBEP_APDB_1992-2016,OSS_Syn_0066,Crescent Lake at 14th Ave N,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Baffle_Box,2017,41.9,27.785785,-82.643121,,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0067,CSX MacDill/Port Tampa,,Hillsborough County,Habitat_Enhancement,Exotic_Control,2005,,27.948088,-82.424804,220,"$220,000.00 ",checked,
TBEP_APDB_1992-2016,OSS_Syn_0068,CSX Transportation Rockport Terminal Stormwater Management Improvements,Hillsborough Bay,CSX Transportation,Point_Source,BMP_On_Site,1997,74000,27.916449,-82.417664,,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0069,Cunningham Key Oyster Dome Project,,TBW,Habitat_Establishment,Oyster_Habitat,2004,,27.65452,-82.71815,NA,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0070,Cypress Point Park Restoration,,City of Tampa,Habitat_Establishment,Saltmarsh,1998,,27.950873,-82.541804,3,NA,checked,
TBEP_APDB_1992-2016,OSS_Syn_0071,Dale Mabry Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,10946.2,28.068939,-82.527091,,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0072,Davis Island Beach Boat Ramp,,City of Tampa Parks Department,Habitat_Enhancement,Saltmarsh,2004,,27.910009,-82.453524,0.5,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0073,Davis Island Salt Marsh Restoration,,TBW,Habitat_Enhancement,Saltmarsh,2004,,27.9119,-82.4506,0.5,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0074,Davis Tract (Kitchen Nature Preserve) Oyster Restoration,,TBW,Habitat_Establishment,Oyster_Habitat,2005,,27.8346,-82.3957,NA,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0075,Del Oro Park,,SWFWMD-SWIM,Habitat_Establishment,Saltmarsh,1997,,27.985731,-82.691625,1,"$30,000.00 ",checked,
TBEP_APDB_1992-2016,OSS_Syn_0076,Delany Creek Wetland Restoration Project,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Wetland_Treatment,1997,1691.3,27.92362483,-82.38579458,,445746.13,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0077,Demen's Landing,,TBW,Habitat_Establishment,Oyster_Habitat,2003,,27.77111,-82.63196,NA,NA,checked,
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0078,Desoto Park And Trailer Park In NW McKay Bay,,City of Tampa,Habitat_Enhancement,Saltmarsh,1999,,27.947546,-82.428339,1,NA,checked,
